,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult,split
7398,2018,1.19216,22.0,7.0,13.4375,9.0,1.1632169783115387,20.0,3.592334968969226,0.297646,6.0,3.0,8.3636,12.0,0.2875318704172965,5.0,1.1653048684820522,1,False,False,0.0,1.0,6.0,0.0,10.0,5.0,5.0,2.0,4.0,0.0,0.0,4.407405195385218,-21.498742470691962,-25.640446557253195,1,0.0
12230,2020,2.70511,25.0,7.0,5.8529,10.0,2.5768731497228146,21.0,11.7305363714695,1.38008,6.0,0.0,21.1333,11.0,0.6188236596062779,5.0,2.0787940816953787,3,False,False,0.0,3.0,8.0,5.0,8.0,1.0,7.0,0.0,3.0,1.0,0.0,4.3458697568625215,-15.661861752444388,-18.172407526756025,2,0.0
5075,2014,0.957268,8.0,6.0,6.6842,14.0,0.9217960424721243,7.0,1.1811161711812017,0.72135,15.0,2.0,9.4583,18.0,0.28862734977155946,9.0,1.1583159100264309,4,False,False,2.0,4.0,1.0,8.0,9.0,8.0,5.0,3.0,1.0,5.0,0.0,1.9616110200062398,-14.202379261621516,-14.059522135771173,0,0.0
6097,2017,0.524853,9.0,4.0,14.6471,10.0,0.3622715920209887,7.0,1.1317605488002305,0.593202,5.0,3.0,9.7391,23.0,0.593202105723321,5.0,1.7907354887574907,3,False,False,2.0,3.0,7.0,5.0,10.0,1.0,1.0,1.0,3.0,3.0,0.0,3.312602697126568,-17.430230531368544,-17.662788643861784,2,0.0
1703,2016,1.43642,12.0,2.0,17.3571,18.0,0.384220039471984,8.0,1.3458701577037568,0.604671,13.0,2.0,5.3636,15.0,0.5023461421951649,10.0,1.372264081612229,3,False,False,3.0,3.0,6.0,6.0,5.0,8.0,1.0,2.0,2.0,3.0,1.0,5.273965955153106,-16.01574677041364,-18.09448676421364,2,0.0
7667,2018,0.73663,7.0,6.0,13.32,10.0,0.6781760752201089,6.0,1.476412422955037,1.88049,23.0,4.824997960349188,7.65,10.0,1.6284138560295112,17.0,6.827264726161959,1,False,False,1.0,1.0,5.0,9.0,6.0,10.0,2.0,7.0,2.0,6.0,2.0,1.759340322390198,-23.71492091426358,-23.52499411875147,1,0.0
11153,2020,1.1449,8.0,9.0,18.0455,7.0,1.144901493564248,8.0,4.132838187739255,0.615727,9.0,7.0,8.5455,16.0,0.4494977518916128,8.0,1.3453871868550769,3,False,False,1.0,3.0,8.0,7.0,9.0,6.0,0.0,1.0,4.0,5.0,1.0,1.0806079810485243,-15.727258429765065,-13.749988541676215,2,0.0
11513,2020,1.87633,11.0,3.0,7.619,13.0,1.7640779577195649,9.0,7.398835122585302,1.29166,6.0,3.0,6.3438,18.0,0.5228559561073782,4.0,2.2839674800634397,4,False,False,4.0,4.0,10.0,4.0,7.0,7.0,0.0,1.0,3.0,1.0,1.0,2.4236436489969497,-16.454542961432885,-16.47760948095381,2,0.0
5793,2017,2.14368,11.0,16.0,8.68,5.0,2.0758470073342328,10.0,8.625195667147645,0.138813,3.0,4.0,25.0,13.0,0.1129775904119015,2.0,0.2487837933003905,0,False,False,0.0,0.0,7.0,4.0,6.0,6.0,2.0,1.0,3.0,2.0,0.0,3.0701450902968634,-23.151174440096714,-24.542853636735195,2,0.0
9377,2019,0.919248,11.0,2.0,9.24,17.0,0.7005406673997648,6.0,2.1074687540531163,2.70178,12.0,5.0,8.2857,14.0,1.8129016067832704,8.0,5.2618885487317995,2,False,True,2.0,2.0,4.0,7.0,7.0,7.0,3.0,3.0,0.0,2.0,0.0,3.4108704019337877,-19.25581751183959,-22.340203882453206,0,0.0
2617,2016,3.50337,22.0,2.0,6.413,17.0,2.3342641647905107,18.0,7.848317120224235,0.505159,5.0,3.0,16.7826,10.0,0.42720368690788724,3.0,1.4010474747046826,3,False,False,2.0,3.0,2.0,5.0,12.0,0.0,2.0,0.0,8.0,1.0,1.0,3.9904305072501294,-20.612650327880964,-23.166664828042475,1,0.0
