,season,home_xGoals,home_shots,home_deep,home_ppda,home_fouls,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,away_xGoals,away_shots,away_deep,away_ppda,away_fouls,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_yellow_cards,home_redCards_binary,away_redCards_binary,home_yellowCards_cat,away_yellowCards_cat,home_shotsOnTarget_cat,away_shotsOnTarget_cat,home_corners_cat,away_corners_cat,home_total_blocked_shots_cat,away_total_blocked_shots_cat,home_total_saved_shots_cat,away_total_saved_shots_cat,time_category,away_rolling_xchain,home_discipline_score_avg,away_discipline_score_avg,gameresult
5454,2014,1.10223,22.0,7.0,5.1852,18.0,0.6975698862224822,14.0,3.9124639406800266,1.55953,10.0,3.0,7.0833,17.0,1.4604521468281737,8.0,7.111789278686048,0,False,False,1,0,5,3,6,1,6,2,5,1,After Noon,2.4257971506565807,-16.153839940830792,-19.30768488165966,0
5455,2014,2.42892,19.0,11.0,13.0,8.0,2.1984371133148675,14.0,10.466513330116875,0.285467,7.0,2.0,12.1053,11.0,0.1899303849786519,4.0,0.9330640565603961,2,False,False,2,2,9,2,6,3,3,1,6,2,After Noon,2.4684146810322996,-15.851845980797785,-19.148141056244054,2
5456,2014,1.4381606323040954,10.0,6.0,13.95,12.0,2.1642184332013135,7.0,6.7348642628639865,0.575148,9.0,7.0,7.0,21.0,0.4964575152844181,8.0,3.139547981321811,3,False,False,1,3,5,3,3,4,0,3,1,2,Night,1.678232651017605,-16.107137104593892,-19.285707397961644,2
4010,2014,0.371141,9.0,2.0,17.9524,6.0,0.3454821081832052,7.0,1.5778074683621517,2.12996,11.0,10.0,13.7333,7.0,1.5902525354176762,9.0,7.506453778594731,1,False,False,1,1,2,3,4,3,1,4,1,0,Night,1.1075206823647017,-16.275856456601222,-19.862062116530304,0
4699,2014,2.57012,17.0,5.0,9.625,5.0,2.4760769642889495,15.0,11.508337140083304,1.19842,9.0,4.0,21.85,9.0,0.7740415446460245,8.0,2.4482718575745848,2,False,False,0,2,10,4,9,3,4,1,8+,3,Night,1.1625995945185421,-16.466661177779606,-20.033326655557783,2
5457,2014,0.632883,9.0,3.0,21.0,18.0,0.3932866603136065,5.0,0.8690265901386732,0.388902,7.0,6.0,9.0833,7.0,0.3288154825568198,6.0,1.834795612841845,1,False,True,3,2,2,3,5,0,5,0,2,3,Night,1.3356537230312822,-16.258059271593783,-19.903219386058264,1
4011,2014,0.507525,10.0,4.0,15.5238,11.0,0.381896741688251,6.0,1.2748027220368388,0.699295,11.0,7.0,8.5714,8.0,0.5511144995689392,11.0,2.232258044183255,0,False,True,4,0,0,4,7,7,4,2,0,4,Noon,0.9567524392157791,-16.343744892579718,-19.937493769533194,1
4700,2014,1.52873,11.0,6.0,6.5882,19.0,0.781687803566455,5.0,4.576911356300114,0.280777,12.0,2.0,5.7391,15.0,0.14939892385154963,7.0,0.3073000237345695,3,False,False,2,3,3,2,7,3,3,2,1,2,After Noon,1.2595847273245453,-16.363631404960177,-20.06059998163637,2
4701,2014,1.17979,8.0,4.0,9.6429,12.0,0.9920285344123835,6.0,4.279629208147525,0.956665,12.0,3.0,6.0556,15.0,0.8216956369578842,9.0,3.0067780520766965,1,False,False,2,1,3,5,2,4,3,3,1,4,After Noon,1.2407851278781892,-16.058818806229763,-19.852935337371957,2
4702,2014,1.75585,19.0,3.0,5.6857,17.0,0.7064431458711629,11.0,3.4899044986814296,1.19453,9.0,5.0,9.8696,18.0,0.7726240642368796,7.0,2.5419145002961123,2,False,False,1,2,5,5,9,5,7,1,3,3,After Noon,1.2085066739469768,-16.571423836736045,-19.742851502042427,1
