gameID,leagueID,season,date,homeTeamID,awayTeamID,homeGoals,awayGoals,homeGoalsHalfTime,awayGoalsHalfTime,home_xGoals,home_shots,home_shotsOnTarget,home_deep,home_ppda,home_fouls,home_corners,home_yellowCards,home_redCards,home_total_assists,home_total_xAssists,home_total_key_passes,home_total_xGoalsChain,home_total_xGoalsBuildup,home_total_yellow_cards,home_total_red_cards,home_total_blocked_shots,home_total_saved_shots,away_xGoals,away_shots,away_shotsOnTarget,away_deep,away_ppda,away_fouls,away_corners,away_yellowCards,away_redCards,away_total_assists,away_total_xAssists,away_total_key_passes,away_total_xGoalsChain,away_total_xGoalsBuildup,away_total_yellow_cards,away_total_red_cards,away_total_blocked_shots,away_total_saved_shots,gameresult
115,1,2015,2015-08-29 18:00:00,80,78,1,2,0,0,1.27906,26,9,10,8.2,9,7,1.0,0,1,0.8835850302129997,19,4.1382634453475475,2.9713553823530683,1,0,10.0,9.0,2.19283,13,5,8,18.5,15,7,1.0,0,1,1.6569324042648066,10,6.184629868715998,3.0055772922933097,1,0,2.0,3.0,A
116,1,2015,2015-08-29 18:00:00,87,81,0,3,0,2,0.561737,13,1,12,5.9655,17,5,3.0,1,0,0.5492903226986526,12,2.173228362575173,1.3328114990144968,3,1,5.0,1.0,0.97217,12,5,1,12.0909,11,7,1.0,1,1,0.6728590875864037,6,2.269609328359367,0.7690275721251963,2,1,3.0,2.0,A
117,1,2015,2015-08-29 18:00:00,88,90,2,0,0,0,1.52895,18,5,9,10.1429,9,9,1.0,0,2,1.3574131857603782,15,7.1495840921998,5.48941701836884,1,0,6.0,4.0,0.363603,7,0,1,20.4444,12,3,2.0,0,0,0.1164296576753259,4,0.6514660771936173,0.4514693254604935,2,0,5.0,0.0,H
118,1,2015,2015-08-29 20:30:00,82,72,0,0,0,0,1.99917,20,6,11,7.4375,20,6,4.0,0,0,1.8538741730153552,18,6.075894132256504,2.496927257627249,4,0,6.0,6.0,0.694692,8,3,6,18.5385,9,2,1.0,0,0,0.5922788865864278,6,3.1583889424800864,2.358672143891453,1,0,1.0,3.0,D
119,1,2015,2015-08-30 16:30:00,74,79,3,0,1,0,2.85501,23,8,2,10.3333,4,6,0.0,0,2,2.0793402381241326,18,11.096060687676077,6.910095719620588,0,0,2.0,5.0,0.639434,6,1,2,25.5833,12,4,0.0,1,0,0.582291664555669,5,1.8156970245763662,0.6993448128923773,0,1,2.0,1.0,H
120,1,2015,2015-08-30 19:00:00,84,89,2,1,0,0,0.971183,9,4,3,15.1739,6,0,2.0,0,2,0.929418697953224,7,2.750206276774407,1.849895566701891,2,0,1.0,2.0,1.28089,11,4,9,6.8966,15,1,2.0,0,1,1.2330986000597475,10,5.2731664031744,2.99114714562893,2,0,1.0,3.0,H
121,1,2015,2015-09-12 15:45:00,72,80,3,1,2,1,1.18026,14,9,4,15.0476,12,7,2.0,0,3,1.0918792746961121,11,6.8188952058553705,5.983029671013357,2,0,0.0,6.0,0.656048,15,2,7,7.6154,12,14,2.0,0,1,0.5839566253125664,13,1.0227266382426035,0.5098444009199733,2,0,7.0,1.0,H
122,1,2015,2015-09-12 18:00:00,83,85,2,0,1,0,4.42684,29,12,20,6.76,6,13,1.0,0,2,3.3897705581039204,24,13.049501344561584,7.822559282183637,1,0,8.0,10.0,0.191277,8,3,2,15.9048,13,1,1.0,0,0,0.12135981302708371,6,0.5828621946275241,0.2953480724245312,1,0,3.0,3.0,H
123,1,2015,2015-09-12 18:00:00,78,88,0,1,0,0,0.743193,10,2,2,8.625,13,4,2.0,0,0,0.6977158561348917,7,3.3890330344438566,1.9578864332288515,2,0,2.0,2.0,3.08883,21,7,8,8.5833,13,4,3.0,0,0,1.7224148809909823,17,6.146201753988866,3.4185644630342717,3,0,5.0,6.0,A
124,1,2015,2015-09-12 18:00:00,90,84,1,0,0,0,1.57333,17,6,3,11.2593,11,1,1.0,1,1,1.330491768196225,11,3.2874027229845515,1.8116042912006385,1,1,4.0,5.0,0.503008,8,3,8,6.7,14,3,1.0,0,0,0.49322103708982523,7,1.618908051401377,0.651837959885597,1,0,1.0,3.0,H
